NAME,FLEET,IMO,MMSI,IMO,MMSI,Latitude,Longitude,Capacity (m³),EU,Country,Estimate CO2
Excelsior,EXCELERATE ENERGY,9239616,205423000,9239616,205423000,53.629406,8.12925,138000,Yes,Germany,109588.2353
Excellence,EXCELERATE ENERGY,9252539,205434000,9252539,205434000,21.535805,91.819085,135362,No,Bangladesh,107493.3529
Summit LNG,EXCELERATE ENERGY,9322255,205445000,9322255,205445000,21.55739,91.816778,135313,No,Bangladesh,107454.4412
Explorer,EXCELERATE ENERGY,9361079,205506000,9361079,205506000,25.032456,55.067672,151072,No,UAE,119968.9412
Express,EXCELERATE ENERGY,9361445,205526000,9361445,205526000,24.148178,52.738044,150900,No,UAE,119832.3529
Exquisite,EXCELERATE ENERGY,9381134,538008036,9381134,538008036,24.771358,67.312524,151035,No,Pakistan,119939.5588
Expedient,EXCELERATE ENERGY,9389643,538011441,9389643,538011441,-34.242468,-58.760124,150900,No,Argentina,119832.3529
Exemplar,EXCELERATE ENERGY,9444649,205553000,9444649,205553000,60.014293,23.919409,151072,Yes,Finland,119968.9412
Experience,EXCELERATE ENERGY,9638525,538004501,9638525,538004501,-22.782305,-43.131997,173400,No,Brazil,137700
Excelerate Sequoia,EXCELERATE ENERGY,9820843,538008851,9820843,538008851,-12.814166,-38.680278,173400,No,Brazil,137700
Energos Winter,ENERGOS INFRASTRUCTURE,9256614,538003487,9256614,538003487,31.474133,31.751347,138000,No,Egypt,109588.2353
Energos Nanook,ENERGOS INFRASTRUCTURE,9785500,538007148,9785500,538007148,-10.856757,-36.882107,173400,No,Brazil,137700
Energos Igloo,ENERGOS INFRASTRUCTURE,9633991,538004977,9633991,538004977,53.443874,6.854385,138000,Yes,Netherlands,109588.2353
Energos Freeze,ENERGOS INFRASTRUCTURE,7361922,538003805,7361922,538003805,19.718702,-71.733221,125000,No,Dominican Republic,99264.70588
Energos Eskimo,ENERGOS INFRASTRUCTURE,9624940,538004974,9624940,538004974,29.598384,32.367305,174000,No,Egypt,138176.4706
Energos Celsius,ENERGOS INFRASTRUCTURE,9626027,538004984,9626027,538004984,-1.526887,-48.744211,174000,No,Brazil,138176.4706
Energos Power,ENERGOS INFRASTRUCTURE,9861809,215888000,9861809,215888000,29.643374,32.357756,174000,No,Egypt,138176.4706
Energos Force,ENERGOS INFRASTRUCTURE,9861811,229248000,9861811,229248000,29.683961,32.595062,170000,No,Egypt,135000
Nusantara Regas Satu,ENERGOS INFRASTRUCTURE,7382744,525015954,7382744,525015954,-5.975219,106.799177,125000,No,Indonesia,99264.70588
Cape Ann,HOEGH EVI,9390680,563202900,9390680,563202900,2.290211,101.858239,160000,No,Malaysia,127058.8235
Hoegh Esperanza,HOEGH EVI,9780354,257344000,9780354,257344000,53.641617,8.111719,170000,Yes,Germany,135000
Hoegh Gallant,HOEGH EVI,9653678,257528000,9653678,257528000,17.844814,-77.117023,170000,No,Jamaica,135000
Hoegh Galleon,HOEGH EVI,9820013,563173800,9820013,563173800,29.601167,32.359945,170000,No,Egypt,135000
Hoegh Gannet,HOEGH EVI,9822451,563071100,9822451,563071100,53.88627,9.170151,170000,Yes,Germany,135000
Hoegh Grace,HOEGH EVI,9674907,538006025,9674907,538006025,10.281591,-75.557198,170000,No,Colombia,135000
Hoegh Giant,HOEGH EVI,9762962,563180200,9762962,563180200,-23.912312,-46.365824,170000,No,Brazil,135000
Independence,HOEGH EVI,9629536,277587000,9629536,277587000,55.66349,21.138355,170000,Yes,Lithuania,135000
Neptune,HOEGH EVI,9385673,257356000,9385673,257356000,54.480402,13.597652,145000,Yes,Germany,115147.0588
PGN FSRU Lampung,HOEGH EVI,9629524,525006208,9629524,525006208,-5.444109,105.94172,170000,No,Indonesia,135000
KARMOL LNGT POWERSHIP AFRICA,KARMOL,9043677,636019705,9043677,636019705,14.66854,-17.410321,127396,No,Senegal,101167.4118
KARMOL LNGT POWERSHIP ASIA,KARMOL,8608705,636019500,8608705,636019500,-22.947783,-43.812768,127500,No,Brazil,101250
BW Magna,BW,9792591,563050700,9792591,563050700,-21.835284,-40.994094,170000,No,Brazil,135000
BW Integrity,BW,9724946,563005900,9724946,563005900,24.77414,67.286872,170000,No,Pakistan,135000
BW Tatiana,BW,9236626,351133000,9236626,351133000,13.582776,-89.84735,137001,No,El Salvador,108794.9118
Italis LNG,SNAM,9655808,247453200,9655808,247453200,42.939789,10.559599,170000,Yes,Italy,135000
BW Singapore,SNAM,9684495,235113083,9684495,235113083,44.462961,12.397503,170000,Yes,Italy,135000
Ertugrul Gazi,BOTAS,9859820,271048493,9859820,271048493,36.851106,36.126282,170000,No,Turkey,135000
Alexandroupolis,GASLOG,9390185,241838000,9390185,241838000,40.762085,25.714617,174000,Yes,Greece,138176.4706
Jawa Satu,PT Jawa Satu Regas,9854935,525101662,9854935,525101662,-6.140581,107.742907,170000,No,Indonesia,135000
LNG Croatia,LNG Hrvatska,9256767,238048000,9256767,238048000,45.200943,14.533952,140208,Yes,Croatia,111341.6471
Bauhinia Spirit,MOL,9713105,311000505,9713105,311000505,22.155606,113.963306,170000,No,China,135000
FSRU Toscana,OLT Offshore LNG,9253284,247323700,9253284,247323700,43.642582,9.989952,137100,Yes,France,108873.5294
Turquoise P,Pardus Energy,9823883,271050049,9823883,271050049,38.7438,26.895915,170000,Yes,Greece,135000
Etyfa Prometheas,ETYFA,9236614,210060000,9236614,210060000,2.326367,102.027326,136967,No,Malaysia,108767.9118
Saros,TOPL,9837066,538011313,9837066,538011313,40.633728,26.655654,170000,No,Turkey,135000
